"ID","CUSTRECORD_COUPA_ACC_DEPT_INCLUDE","EXTERNALID","FULLNAME","INCLUDECHILDREN","ISINACTIVE","LASTMODIFIEDDATE","NAME","PARENT","SUBSIDIARY","_FIVETRAN_DELETED","DATE_DELETED","_FIVETRAN_SYNCED","CUSTRECORD_FINANCIAL_STATEMENT_LINE_ITEM","CUSTRECORD_FINANCE_BUSINESS_PARTNER"
"96","T",,"Growth Analytics : GA Analytics : Growth Analytics: Consumer Business - DEPRECATED","T","F","2023-03-30 16:45:19.000 +0000","Growth Analytics: Consumer Business - DEPRECATED","90","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","39",
"18","T",,"Finance : Finance Partnerships : Finance: Bank Strategy - DEPRECATED","T","F","2023-03-30 16:44:26.000 +0000","Finance: Bank Strategy - DEPRECATED","32","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","39",
"39","T",,"Growth Analytics : GA Analytics : Growth Analytics: Ops Strategy & Analytics - DEPRECATED","T","F","2023-03-30 16:46:01.000 +0000","Growth Analytics: Ops Strategy & Analytics - DEPRECATED","90","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","39",
"46","T",,"Engineering : Decision Foundations : Eng: Machine Learning - DEPRECATED","T","F","2023-03-30 16:42:43.000 +0000","Eng: Machine Learning - DEPRECATED","115","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","42",
"51","T",,"Operations : Fraud Ops : Ops: Risk Ops - DEPRECATED","T","F","2023-03-30 16:48:17.000 +0000","Ops: Risk Ops - DEPRECATED","313","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.218 +0000","39",
"62","T",,"Engineering : Network Growth : Eng: Merchant Engagement - DEPRECATED","T","F","2023-03-30 16:43:25.000 +0000","Eng: Merchant Engagement - DEPRECATED","118","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","42",
"63","T",,"Engineering : Consumer : Eng: Customer Engagement - DEPRECATED","T","F","2023-03-30 16:41:44.000 +0000","Eng: Customer Engagement - DEPRECATED","114","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","42",
"64","T",,"Engineering : Consumer : Eng: Product Scale - DEPRECATED","T","F","2023-03-30 16:42:08.000 +0000","Eng: Product Scale - DEPRECATED","114","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","42",
"65","T",,"Engineering : Infrastructure Platform : Eng: Data & Decisions - DEPRECATED","T","F","2023-03-30 16:43:12.000 +0000","Eng: Data & Decisions - DEPRECATED","58","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","42",
"66","T",,"Engineering : Financial Platforms : Eng: Finance Engineering - DEPRECATED","T","F","2023-03-30 16:42:58.000 +0000","Eng: Finance Engineering - DEPRECATED","117","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","42",
